location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
20181004T1600,17.03,70.0,1029.9,0.0,0.0,9.3,31.0,0.0,0.0,8.528962,51.34018,13.891522,58.781593,8.287822,182.48955,8.373386,244.53665,248.0,1604.0,15.16,8.47
20181004T1700,16.93,64.0,1030.1,0.0,0.0,10.5,35.0,0.0,0.0,9.0576,61.927513,14.182355,66.037506,7.289444,200.22485,9.449572,252.25534,250.0,1605.0,14.95,8.57
20181004T1800,16.78,61.0,1030.1,0.0,0.0,14.0,0.0,14.0,0.0,9.185972,60.46122,14.386494,58.29856,6.9153743,231.3402,11.013882,258.69006,250.0,1605.0,14.93,8.68
20181004T1900,16.6,61.0,1030.0,0.0,0.0,39.0,0.0,39.0,0.0,10.646005,58.29856,16.575644,55.61966,6.28713,256.7595,11.304229,260.83765,249.0,1604.0,14.79,8.8
20181004T2000,16.38,65.0,1030.3,0.0,0.0,0.0,0.0,0.0,0.0,11.318082,63.43495,17.709658,63.43495,5.937272,255.96376,11.27553,253.30075,251.0,1605.0,14.51,8.63
20181004T2100,16.12,71.0,1030.4,0.0,0.0,43.0,100.0,43.0,0.0,12.317941,68.42869,18.792551,69.829346,5.00128,239.74356,10.495713,239.03624,252.0,1606.0,14.21,8.63
20181004T2200,15.97,75.0,1030.2,0.0,0.0,30.000002,100.0,0.0,0.0,12.974528,70.820984,19.592731,69.56716,5.00128,210.25644,10.233123,230.7106,250.0,1604.0,14.03,8.73
20181004T2300,15.97,78.0,1030.0,0.0,0.0,30.000002,100.0,0.0,0.0,12.40692,75.06858,18.792551,73.30075,6.28713,193.24052,10.97262,228.9909,248.0,1602.0,13.93,8.76
20181005T0000,16.13,81.0,1029.8,0.0,0.0,30.000002,100.0,0.0,0.0,11.999834,87.45519,17.654688,87.66269,7.92,180.0,11.720751,227.48956,247.0,1603.0,14.05,9.07
20181005T0100,16.37,85.0,1029.5,0.0,0.0,30.000002,100.0,0.0,0.0,9.697106,110.9245,14.039999,112.619865,10.105681,184.08562,15.021105,225.97102,245.0,1601.0,14.23,9.07
20181005T0200,16.53,85.0,1029.1,0.0,0.0,30.000002,100.0,0.0,0.0,9.112282,142.12502,13.18308,145.00798,10.853866,185.71059,16.135872,218.65982,241.0,1598.0,14.38,9.2
20181005T0300,16.5,86.0,1028.7,0.0,0.0,14.400001,48.0,0.0,0.0,10.248613,171.02737,15.273505,171.8699,12.144331,191.97614,16.992609,216.38435,238.0,1595.0,14.39,9.23
20181005T0400,16.42,86.0,1028.2,0.0,0.0,79.0,100.0,79.0,0.0,11.458298,181.33221,16.954432,183.65222,13.441071,200.37643,18.335276,223.40886,234.0,1591.0,14.33,9.37
20181005T0500,16.31,86.0,1027.8,0.0,0.0,30.000002,100.0,0.0,0.0,11.797039,186.48308,17.163355,189.6599,14.81259,205.94229,19.914215,229.39871,230.0,1589.0,14.36,9.65
20181005T0600,16.17,85.0,1027.6,0.0,0.0,9.6,32.0,9.0,0.0,12.175966,190.0806,18.161278,193.76079,18.079027,215.27243,21.889065,233.69551,229.0,1587.0,14.35,9.5
20181005T0700,16.3,80.0,1027.3,0.0,0.0,7.0,0.0,7.0,0.0,11.605993,189.24611,17.581125,190.61966,20.633371,222.8789,23.617756,232.43141,226.0,1586.0,14.33,9.51
20181005T0800,16.59,79.0,1027.4,0.0,0.0,100.0,100.0,100.0,12.0,10.196545,199.85521,15.646544,203.0255,23.770906,234.86581,26.66188,235.45163,227.0,1588.0,14.51,9.53
20181005T0900,16.71,81.0,1026.7,0.0,0.0,100.0,100.0,100.0,4.0,9.247572,168.36636,13.849476,171.02737,16.08761,220.46222,18.892282,239.03624,222.0,1584.0,14.86,10.64
20181005T1000,16.8,85.0,1027.0,0.0,0.0,100.0,100.0,100.0,0.0,9.5904,180.0,14.044615,178.5312,20.883102,215.88214,20.390114,227.86241,224.0,1585.0,15.33,9.85
20181005T1100,16.87,86.0,1026.5,0.0,0.0,100.0,73.0,100.0,0.0,7.8395867,170.21759,11.792404,167.66092,17.884428,220.1009,20.94507,241.23236,221.0,1583.0,15.37,10.67
20181005T1200,17.62,83.0,1024.9,0.0,0.0,100.0,100.0,100.0,0.0,10.538806,163.85565,17.727943,167.09259,17.727943,209.16762,17.58481,247.10945,208.0,1574.0,16.43,11.19
20181005T1300,17.61,86.0,1024.2,0.0,0.0,100.0,100.0,100.0,0.0,10.788378,159.77515,18.25026,165.14139,16.87398,213.69006,19.137648,253.61046,203.0,1572.0,16.52,11.95
20181005T1400,17.59,88.0,1023.4,0.0,0.0,100.0,100.0,100.0,2.0,10.538806,159.27444,18.511143,166.50427,16.29174,225.0,21.542923,260.38028,196.0,1567.0,16.49,12.71
20181005T1500,17.58,89.0,1022.5,0.0,0.0,100.0,100.0,100.0,0.0,11.380612,159.44395,19.562946,167.24246,14.76439,225.0,21.24,270.0,188.0,1562.0,16.4,13.13
20181005T1600,17.62,90.0,1022.2,0.0,0.0,100.0,100.0,100.0,0.0,11.748814,183.9005,19.602652,187.38605,23.686249,226.84761,22.530937,257.074,186.0,1561.0,16.27,12.54
20181005T1700,17.47,92.0,1022.0,0.0,0.0,100.0,100.0,100.0,0.0,11.79403,198.43495,18.331741,199.50244,25.376808,238.33925,23.051247,255.52971,184.0,1561.0,16.83,12.7
20181005T1800,17.5,92.0,1021.7,0.0,0.0,100.0,35.0,100.0,13.0,11.402418,217.40535,18.59845,222.64671,25.809765,239.85861,20.780453,255.96376,182.0,1557.0,16.98,12.34
20181005T1900,17.61,92.0,1021.2,0.0,0.0,100.0,8.0,100.0,100.0,6.823169,218.65982,15.30741,221.18593,23.166218,237.05078,19.930477,249.92847,178.0,1555.0,17.61,12.47
20181005T2000,17.55,92.0,1021.1,0.0,0.0,100.0,4.0,100.0,100.0,4.4097047,205.01689,12.88981,215.90973,20.68356,238.52316,20.326454,247.0679,177.0,1555.0,17.57,12.62
20181005T2100,17.51,92.0,1021.0,0.0,0.0,100.0,20.0,100.0,100.0,2.4123545,186.3402,9.085988,213.69006,19.008547,245.37643,17.917007,247.55725,176.0,1553.0,17.31,12.19
20181005T2200,17.5,92.0,1020.9,0.0,0.0,100.0,8.0,100.0,100.0,2.382754,63.43495,0.35999998,270.0,14.440443,265.71085,10.703569,227.72632,176.0,1551.0,17.19,9.9
20181005T2300,17.39,93.0,1021.2,0.0,0.0,100.0,0.0,100.0,100.0,8.014169,21.447723,10.483357,15.945404,5.0911684,278.1301,12.964998,181.59114,178.0,1546.0,16.67,7.85
20181006T0000,17.15,93.0,1021.1,0.7,0.0,100.0,0.0,100.0,100.0,9.827957,32.828537,15.575981,33.690063,7.4128532,150.94539,24.881702,183.31778,177.0,1540.0,16.64,8.08
20181006T0100,17.03,89.0,1020.0,0.1,0.0,100.0,0.0,75.0,100.0,15.825596,36.09828,24.26998,32.275635,11.298495,157.52057,31.875755,198.43495,168.0,1536.0,17.7,10.23
20181006T0200,16.79,81.0,1019.9,0.6,0.0,100.0,0.0,100.0,100.0,14.179389,25.602173,21.794127,22.32866,9.028754,175.42609,41.43911,219.35945,166.0,1532.0,15.84,11.24
20181006T0300,16.44,81.0,1019.0,0.4,0.0,100.0,36.0,100.0,100.0,15.992876,60.018356,23.219301,60.25511,12.979984,183.17982,47.75533,220.41391,158.0,1526.0,15.08,12.16
20181006T0400,16.41,76.0,1018.2,0.1,0.0,100.0,66.0,100.0,100.0,18.504736,67.12633,26.474077,67.61986,18.416384,175.5154,39.966484,224.63507,152.0,1522.0,14.77,12.49
20181006T0500,15.77,82.0,1018.3,1.0,0.0,100.0,100.0,100.0,100.0,15.966229,64.29004,22.7057,64.65381,19.255793,159.1932,33.697998,229.33232,152.0,1522.0,14.01,12.94
20181006T0600,15.22,89.0,1017.6,2.1,0.0,100.0,100.0,100.0,100.0,17.519726,61.876274,25.772078,61.645027,21.518847,162.47443,29.28418,249.1142,147.0,1518.0,13.48,12.67
20181006T0700,15.37,89.0,1017.1,0.2,0.0,100.0,100.0,100.0,100.0,20.288422,66.8014,29.827904,66.529,24.27265,144.65988,15.745627,259.46082,142.0,1515.0,13.59,12.48
20181006T0800,15.55,90.0,1016.9,0.1,0.0,100.0,100.0,100.0,100.0,20.978048,72.255325,31.205997,73.23744,21.897945,152.59242,8.699793,245.55606,141.0,1513.0,13.79,12.45
20181006T0900,15.71,90.0,1016.7,0.1,0.0,100.0,100.0,100.0,100.0,22.837488,73.044685,34.07091,74.054596,15.379206,159.44395,5.3517847,222.27368,139.0,1511.0,14.0,12.67
20181006T1000,15.88,90.0,1016.2,0.0,0.0,100.0,69.0,100.0,100.0,25.03168,73.30075,37.829132,73.979706,20.371038,133.5679,7.6367526,171.8699,135.0,1507.0,14.23,13.06
20181006T1100,15.97,91.0,1015.3,0.4,0.0,100.0,100.0,100.0,100.0,25.912106,75.10652,38.681152,75.44643,28.394392,129.34052,15.745627,169.46082,128.0,1501.0,14.39,13.35
20181006T1200,16.19,92.0,1012.7,0.0,0.0,100.0,100.0,82.0,100.0,26.206232,72.85444,41.104683,72.6759,35.9946,120.66893,40.70548,177.97267,107.0,1481.0,14.97,14.32
20181006T1300,16.24,92.0,1011.7,0.1,0.0,100.0,100.0,100.0,100.0,29.243393,66.93848,45.66469,67.275894,40.643345,122.70473,45.1739,174.97093,98.0,1475.0,15.12,14.97
20181006T1400,16.2,92.0,1010.5,0.2,0.0,100.0,100.0,72.0,100.0,32.172695,64.49587,50.565582,64.71203,37.950554,133.07805,49.07897,171.98877,88.0,1466.0,15.16,15.08
20181006T1500,16.12,93.0,1009.1,0.2,0.0,100.0,100.0,0.0,100.0,33.835945,63.838425,52.979965,64.65382,36.748222,145.37584,51.48,180.0,76.0,1457.0,15.17,15.22
20181006T1600,16.06,93.0,1007.9,0.4,0.0,100.0,100.0,47.0,100.0,34.90755,63.239395,55.061172,63.602478,41.94116,147.26477,47.521362,179.56595,66.0,1449.0,15.21,15.68
20181006T1700,16.05,93.0,1006.6,0.4,0.0,100.0,100.0,37.0,100.0,35.870144,62.102737,56.674564,62.783897,40.377815,158.00887,46.529213,183.54868,55.0,1440.0,15.34,15.41
20181006T1800,16.07,93.0,1005.0,0.2,0.0,100.0,100.0,10.0,100.0,37.00947,59.74356,58.539585,60.124,40.076588,165.96376,46.801384,180.44073,42.0,1429.0,15.49,16.72
20181006T1900,16.1,93.0,1003.4,0.5,0.0,100.0,100.0,13.0,100.0,35.82065,59.620872,56.440838,60.16446,43.482574,165.6186,41.773964,181.48146,28.0,1417.0,15.66,16.93
20181006T2000,16.24,94.0,1001.8,0.4,0.0,100.0,100.0,0.0,100.0,31.25861,60.37625,49.618656,61.38954,45.05756,172.1936,37.99322,192.58769,15.0,1405.0,15.93,17.89
20181006T2100,16.47,95.0,1000.2,0.3,0.0,100.0,100.0,1.0,100.0,24.101473,66.55193,37.45557,72.08749,32.88635,185.02408,52.062023,215.99825,2.0,1396.0,16.12,18.17
20181006T2200,16.82,96.0,998.8,0.7,0.0,100.0,0.0,100.0,100.0,16.125454,82.40536,22.253124,99.30994,38.976547,201.1135,65.99105,202.78818,-10.0,1384.0,18.28,16.5
20181006T2300,17.57,96.0,996.8,1.4,0.0,100.0,0.0,100.0,100.0,12.317941,111.571304,20.898613,137.7927,62.871292,193.24052,76.795685,196.05608,-26.0,1367.0,19.0,15.02
20181007T0000,18.18,96.0,995.3,2.3,0.0,100.0,0.0,100.0,100.0,20.156818,172.40535,41.401566,179.50179,79.50867,203.1986,87.00464,215.39989,-40.0,1354.0,19.63,14.31
20181007T0100,18.26,96.0,994.0,0.1,0.0,100.0,0.0,0.0,100.0,32.026775,191.02953,57.542595,190.81784,83.06254,222.54095,87.92258,238.3925,-51.0,1341.0,20.34,13.54
20181007T0200,18.04,94.0,993.3,0.1,0.0,100.0,0.0,0.0,100.0,31.091288,199.52173,55.744232,204.41333,79.37816,236.09372,90.248055,245.9911,-57.0,1335.0,20.43,14.19
20181007T0300,18.08,92.0,993.3,0.2,0.0,100.0,0.0,0.0,100.0,27.048458,219.80557,49.63955,224.70618,85.16872,250.4928,74.99242,259.76898,-57.0,1332.0,20.82,13.91
20181007T0400,18.86,90.0,993.6,0.0,0.0,100.0,0.0,0.0,100.0,28.003698,242.21608,52.02218,245.031,72.15194,266.281,66.255646,271.24536,-54.0,1335.0,20.4,15.19
20181007T0500,18.49,92.0,994.4,0.0,0.0,100.0,0.0,0.0,100.0,33.15476,254.62375,57.190163,255.78882,71.44436,276.94598,69.80009,278.00473,-47.0,1341.0,19.1,16.03
20181007T0600,17.66,95.0,995.1,0.0,0.0,100.0,0.0,0.0,100.0,33.61816,266.8202,55.458694,268.51215,71.1426,292.9321,66.27521,287.05698,-41.0,1346.0,17.93,16.09
20181007T0700,17.18,92.0,997.1,0.0,0.0,100.0,0.0,0.0,100.0,33.571686,277.2942,55.290184,278.23563,62.545788,301.58588,49.293716,288.30264,-24.0,1355.0,16.96,14.56
20181007T0800,16.8,92.0,999.1,0.0,0.0,100.0,0.0,0.0,100.0,33.307457,277.3524,53.987995,276.50897,61.409286,303.03796,43.952446,289.62225,-7.0,1365.0,16.47,13.15
20181007T0900,17.25,88.0,1000.6,0.0,0.0,100.0,0.0,0.0,100.0,37.834427,276.87482,61.757576,277.70502,53.0032,294.47617,45.53253,274.98938,5.0,1374.0,17.26,11.22
20181007T1000,17.01,89.0,1002.4,0.0,0.0,100.0,0.0,0.0,100.0,34.115845,284.47028,54.59314,285.6859,50.32022,287.91644,49.768612,284.23727,20.0,1385.0,16.83,9.62
20181007T1100,16.79,90.0,1003.9,0.1,0.0,100.0,0.0,0.0,100.0,30.589634,289.85522,47.40258,290.91254,52.42297,293.0436,55.483227,286.20074,33.0,1394.0,16.44,8.44
20181007T1200,13.85,81.0,1009.2,0.2,0.0,100.0,0.0,0.0,100.0,16.413353,13.134018,26.836306,6.9343414,19.353138,288.43497,41.1425,285.7388,76.0,1427.0,12.86,8.61
20181007T1300,13.74,79.0,1010.0,0.0,0.0,100.0,0.0,0.0,100.0,17.037107,9.904175,26.525429,7.800186,16.645864,291.57132,39.9097,285.16446,83.0,1432.0,12.67,8.0
20181007T1400,13.72,80.0,1010.7,0.0,0.0,100.0,0.0,0.0,100.0,15.444308,14.995071,21.758419,16.336044,14.84318,292.83368,39.125893,282.75754,89.0,1436.0,12.6,7.37
20181007T1500,13.77,80.0,1011.4,0.0,0.0,100.0,0.0,0.0,100.0,14.84209,21.037506,21.461555,22.693771,16.171976,286.8214,38.69623,282.35535,95.0,1441.0,12.6,6.83
20181007T1600,13.7,80.0,1011.9,0.0,0.0,100.0,0.0,0.0,100.0,14.904121,24.274445,23.210928,23.782028,16.595179,282.5288,37.936893,279.28357,99.0,1444.0,12.48,6.43
20181007T1700,13.64,80.0,1012.5,0.0,0.0,100.0,0.0,0.0,100.0,15.013241,27.474426,23.667091,26.175278,15.893093,283.0919,35.9946,278.04907,104.0,1448.0,12.37,6.11
20181007T1800,13.61,81.0,1013.0,0.0,0.0,100.0,0.0,0.0,100.0,15.079276,32.005356,23.277834,31.723602,15.978486,284.34933,35.58359,281.08258,108.0,1450.0,12.28,5.67
20181007T1900,13.56,83.0,1013.4,0.0,0.0,100.0,0.0,0.0,100.0,14.564552,39.805573,21.203358,40.179214,15.542662,283.39252,35.27449,284.17807,111.0,1453.0,12.19,5.39
20181007T2000,13.6,85.0,1014.0,0.0,0.0,100.0,0.0,0.0,100.0,12.831524,48.366455,18.161278,50.630676,14.561099,278.53076,34.619946,286.92752,116.0,1457.0,12.19,5.38
20181007T2100,13.65,87.0,1014.6,0.0,0.0,100.0,0.0,0.0,100.0,10.84415,62.175903,14.973577,62.818893,14.044615,271.4688,32.79361,287.24146,121.0,1462.0,12.22,5.23
20181007T2200,13.75,88.0,1015.0,0.0,0.0,100.0,0.0,56.0,100.0,9.120067,83.29016,12.682018,83.480194,14.440443,265.71085,29.620802,286.23236,124.0,1465.0,12.3,4.68
20181007T2300,13.86,87.0,1015.2,0.0,0.0,100.0,0.0,11.0,100.0,7.920641,109.653824,11.043261,109.025604,15.328561,260.5377,28.137632,286.34818,126.0,1468.0,12.41,4.59
20181008T0000,13.87,88.0,1015.7,0.0,0.0,100.0,0.0,0.0,100.0,8.154626,141.6325,12.096214,143.47115,16.279802,251.96573,27.103,286.99084,130.0,1471.0,12.36,4.66
20181008T0100,13.87,89.0,1015.8,0.0,0.0,100.0,0.0,0.0,100.0,9.697107,164.05461,13.797913,164.87599,18.35647,258.69006,27.943514,284.93143,131.0,1473.0,12.36,4.83
20181008T0200,13.98,90.0,1015.7,0.0,0.0,100.0,0.0,0.0,100.0,10.935387,177.20729,15.856356,177.39743,23.828083,274.3323,30.222849,282.38077,130.0,1473.0,12.48,4.93
20181008T0300,14.22,90.0,1015.4,0.0,0.0,100.0,0.0,0.0,100.0,12.061772,186.3402,17.106628,188.47115,29.301876,280.61966,33.617138,279.8658,128.0,1473.0,12.78,5.0
20181008T0400,14.42,92.0,1015.3,0.0,0.0,100.0,0.0,0.0,100.0,13.37848,192.65256,19.562946,192.75754,33.441265,284.33545,43.738148,278.99713,127.0,1474.0,12.99,5.3
20181008T0500,13.86,93.0,1015.4,0.0,0.0,100.0,0.0,0.0,100.0,14.321323,198.43495,20.833395,198.12186,35.80507,285.15405,48.26954,277.28403,127.0,1476.0,12.37,5.63
20181008T0600,12.96,95.0,1015.3,0.0,0.0,100.0,9.0,0.0,100.0,13.824594,205.08359,20.12461,206.56505,34.32671,279.6599,47.16,270.0,126.0,1476.0,11.55,5.75
20181008T0700,12.94,95.0,1015.5,0.0,0.0,100.0,2.0,0.0,100.0,12.656103,210.34326,19.08,211.8908,33.549606,273.6914,49.183167,264.5398,128.0,1479.0,11.53,5.96
20181008T0800,12.83,95.0,1015.9,0.0,0.0,100.0,13.0,0.0,100.0,12.395474,208.21736,18.847641,208.52312,36.36,270.0,49.951862,260.8771,131.0,1482.0,11.4,6.01
20181008T0900,12.66,96.0,1016.4,0.0,0.0,100.0,20.0,24.0,100.0,13.105146,206.56505,20.140705,208.85567,37.123665,267.22083,46.22882,261.4913,135.0,1485.0,11.22,5.85
20181008T1000,12.6,96.0,1016.9,0.0,0.0,100.0,31.0,4.0,100.0,13.463086,207.07208,20.456745,208.36905,38.60234,266.25702,41.456306,267.01337,140.0,1489.0,11.26,5.39
20181008T1100,12.98,96.0,1017.1,0.0,0.0,100.0,21.0,0.0,100.0,12.76776,203.35556,19.386593,201.8014,34.925568,261.70285,44.490234,264.4278,142.0,1492.0,12.06,5.22
20181008T1200,16.88,79.0,1016.5,0.0,0.0,100.0,100.0,100.0,10.0,8.512303,249.86371,12.181625,251.0296,33.092594,284.48975,37.827415,267.81836,138.0,1493.0,15.56,6.18
20181008T1300,16.9,77.0,1016.8,0.0,0.0,100.0,100.0,100.0,10.0,8.424308,251.56506,11.525623,255.52971,28.948118,280.75098,36.17955,264.28943,141.0,1495.0,15.59,6.03
20181008T1400,16.89,77.0,1017.0,0.0,0.0,100.0,100.0,100.0,10.0,8.27128,255.06857,10.739833,256.42957,24.967499,275.7928,34.80848,259.27115,142.0,1496.0,15.55,5.94
20181008T1500,16.8,77.0,1017.1,0.0,0.0,100.0,100.0,100.0,10.0,8.115368,246.8014,10.829958,248.55226,21.26744,267.08917,34.51685,253.64418,143.0,1496.0,15.42,5.87
20181008T1600,16.64,79.0,1017.1,0.1,0.0,77.0,10.0,49.0,77.0,7.766828,239.03624,10.315115,240.75117,17.992796,250.11484,34.03476,246.96057,143.0,1496.0,15.25,5.79
20181008T1700,16.52,80.0,1017.2,0.3,0.0,78.0,0.0,7.0,78.0,6.9926825,229.63547,9.178235,228.17984,17.339897,228.36647,34.131718,232.28403,144.0,1498.0,15.1,5.88
20181008T1800,16.51,82.0,1017.1,0.2,0.0,82.0,0.0,0.0,82.0,7.619226,216.46924,11.183201,213.17851,19.881649,222.06433,36.95396,222.23615,143.0,1497.0,15.09,5.82
20181008T1900,16.54,84.0,1017.0,0.3,0.0,81.0,0.0,0.0,81.0,9.293504,207.29958,13.70839,209.93152,23.166216,224.3704,39.98594,226.8241,142.0,1496.0,15.15,5.96
20181008T2000,16.44,87.0,1017.1,0.2,0.0,88.0,0.0,0.0,88.0,10.538806,200.72556,15.844089,201.31792,26.081993,206.21138,35.452232,212.56044,143.0,1497.0,15.01,5.88
20181008T2100,16.16,91.0,1017.1,0.6,0.0,100.0,0.0,0.0,100.0,12.132174,199.23067,18.331741,199.50244,31.559086,205.68814,36.17955,222.5805,143.0,1498.0,14.69,5.68
20181008T2200,16.0,92.0,1017.3,0.3,0.0,100.0,6.0,0.0,100.0,12.76776,203.35556,18.532133,204.0755,34.366333,202.80453,34.75445,219.95755,144.0,1499.0,14.58,5.83
20181008T2300,16.19,91.0,1017.3,0.2,0.0,100.0,13.0,0.0,100.0,11.526227,213.69006,16.575644,214.38034,32.151043,214.04594,35.72898,229.08562,144.0,1499.0,14.84,5.92
20181009T0000,16.29,92.0,1017.6,0.8,0.0,100.0,13.0,0.0,100.0,11.4923115,224.0608,16.29174,225.0,27.155552,218.54118,32.37799,221.84515,147.0,1502.0,14.91,5.74
20181009T0100,16.29,87.0,1017.9,1.1,0.0,100.0,2.0,0.0,100.0,13.121384,264.17368,19.881649,264.80557,20.380579,234.34467,27.248455,226.606,149.0,1503.0,14.7,5.89
20181009T0200,15.99,81.0,1017.9,0.1,0.0,12.0,0.0,0.0,12.0,13.586399,298.0725,19.826164,299.35776,22.127556,248.02548,33.74796,236.30994,150.0,1502.0,14.41,6.0
20181009T0300,16.05,80.0,1017.9,0.0,0.0,100.0,0.0,65.0,100.0,12.886713,299.74487,18.58451,301.5348,28.291512,255.25644,37.63679,248.09683,149.0,1502.0,14.49,5.85
20181009T0400,16.02,80.0,1018.0,0.0,0.0,100.0,0.0,100.0,2.0,12.734365,285.78076,18.947083,284.3003,32.736256,261.7808,38.941616,256.09222,150.0,1503.0,14.44,5.9
20181009T0500,16.06,79.0,1018.4,0.0,0.0,100.0,0.0,100.0,0.0,13.852799,270.0,20.519999,270.0,34.627434,266.42368,42.366966,257.73523,154.0,1506.0,14.45,6.11
20181009T0600,16.18,76.0,1018.5,0.0,0.0,100.0,100.0,100.0,0.0,13.151097,263.01895,19.201874,263.5412,35.105072,275.886,38.546906,267.8591,154.0,1507.0,14.59,6.19
20181009T0700,16.31,72.0,1018.6,0.0,0.0,100.0,79.0,100.0,0.0,12.486745,258.9298,17.581125,259.38034,35.80507,285.15405,31.780067,274.54803,155.0,1508.0,14.75,6.18
20181009T0800,16.41,70.0,1019.2,0.0,0.0,43.0,0.0,43.0,0.0,12.225409,258.69006,17.651016,258.23172,37.003025,289.31635,28.835976,272.8624,160.0,1513.0,14.81,6.13
20181009T0900,16.4,70.0,1019.9,0.0,0.0,30.0,0.0,30.0,0.0,11.242584,256.29303,16.327497,255.96376,34.94968,288.62158,24.842607,270.83032,166.0,1518.0,14.74,5.99
20181009T1000,16.38,71.0,1020.5,0.0,0.0,53.0,0.0,53.0,0.0,9.531016,243.43495,13.849477,242.10274,25.233406,284.03625,21.2522,259.2611,171.0,1524.0,14.67,6.37
20181009T1100,16.36,71.0,1020.9,0.0,0.0,60.0,0.0,60.0,0.0,9.827957,237.17145,14.081477,237.52881,19.70815,279.46234,19.809813,250.90651,174.0,1527.0,14.61,6.47
20181009T1200,17.4,67.0,1019.1,0.0,0.0,100.0,0.0,100.0,0.0,12.8093815,286.92752,19.242327,287.41797,19.813087,294.70242,23.110207,274.46716,160.0,1515.0,15.87,6.31
20181009T1300,17.39,67.0,1019.3,0.0,0.0,68.0,0.0,68.0,0.0,11.630427,290.0952,17.193533,289.57312,17.388409,297.09555,18.089775,275.7106,162.0,1516.0,15.84,6.16
20181009T1400,17.37,68.0,1019.4,0.0,0.0,100.0,1.0,100.0,0.0,9.53846,305.90973,13.684735,305.3625,16.418526,307.875,16.919998,270.0,162.0,1517.0,15.81,6.14
20181009T1500,17.29,69.0,1019.3,0.0,0.0,100.0,0.0,100.0,0.0,8.955161,337.24902,12.768586,338.49857,14.565548,309.98688,18.72346,271.1017,162.0,1516.0,15.72,6.08
20181009T1600,17.08,68.0,1019.6,0.0,0.0,100.0,0.0,100.0,0.0,10.86703,348.69006,15.745627,349.46082,13.104198,307.1847,18.0,270.0,164.0,1517.0,15.46,6.05
20181009T1700,16.9,59.0,1019.9,0.0,0.0,100.0,0.0,100.0,0.0,12.622413,352.725,18.532133,352.1847,11.212135,312.39746,14.689589,252.89728,166.0,1518.0,15.24,6.22
20181009T1800,16.76,52.0,1019.9,0.0,0.0,96.0,0.0,96.0,0.0,13.064469,357.66272,19.829433,356.87787,9.178235,318.17984,12.979984,236.30994,166.0,1517.0,15.05,6.26
20181009T1900,16.58,52.0,1020.0,0.0,0.0,100.0,0.0,100.0,0.0,11.038736,8.325638,17.015474,6.0724487,5.8048253,330.25513,11.480557,228.81409,167.0,1518.0,14.86,6.23
20181009T2000,16.56,54.0,1020.2,0.0,0.0,100.0,0.0,100.0,0.0,8.05392,34.2157,11.4862,32.195724,3.096837,35.53766,8.714677,218.29016,168.0,1518.0,14.83,6.05
20181009T2100,16.62,60.0,1020.2,0.0,0.0,100.0,0.0,100.0,0.0,8.360888,67.52056,11.27553,73.30075,5.4477882,82.40536,6.9247384,207.89728,169.0,1519.0,14.89,6.08
20181009T2200,16.65,67.0,1020.4,0.0,0.0,96.0,23.0,96.0,3.0,13.01276,67.10944,18.214718,71.56504,7.928178,92.602554,5.2416787,195.9454,171.0,1521.0,14.89,6.0
20181009T2300,16.42,65.0,1020.8,0.0,0.0,88.0,0.0,88.0,22.0,18.398964,55.619637,27.07669,54.196655,9.693296,121.32869,6.924738,188.97263,173.0,1523.0,14.59,6.08
20181010T0000,16.06,66.0,1021.0,0.0,0.0,100.0,0.0,100.0,51.0,20.762115,56.513817,30.566095,57.994614,11.246759,129.80557,8.825508,191.7683,175.0,1525.0,14.09,6.57
20181010T0100,15.78,69.0,1021.0,0.0,0.0,100.0,0.0,100.0,100.0,21.898338,53.408897,33.121956,52.507347,12.261157,130.23636,10.703569,199.65382,175.0,1527.0,13.76,6.98
20181010T0200,16.06,69.0,1020.6,0.0,0.0,100.0,92.0,100.0,100.0,20.883108,60.16446,30.945345,60.751175,13.392774,126.25384,11.726277,197.8787,171.0,1524.0,14.17,7.06
20181010T0300,16.51,68.0,1020.1,0.0,0.0,100.0,100.0,100.0,100.0,19.89635,63.77803,29.144442,64.38451,13.684735,125.36246,14.471821,185.71059,168.0,1523.0,14.72,7.23
20181010T0400,16.74,69.0,1019.9,0.0,0.0,100.0,100.0,100.0,100.0,18.8712,71.05349,28.006058,72.03086,15.7908325,133.15239,20.16,180.0,166.0,1523.0,15.01,7.61
20181010T0500,16.68,77.0,1019.7,0.2,0.0,100.0,100.0,100.0,100.0,19.071339,77.90524,28.594517,79.11447,20.111729,135.72522,20.519999,180.0,165.0,1523.0,14.94,8.11
20181010T0600,16.63,84.0,1019.7,0.0,0.0,100.0,17.0,100.0,100.0,18.164104,85.79464,27.397867,86.98721,24.063513,128.92754,21.129885,171.17963,164.0,1522.0,14.85,8.29
20181010T0700,16.24,68.0,1020.1,0.2,0.0,100.0,39.0,100.0,100.0,18.164104,94.20535,26.758923,95.40378,23.78453,129.47246,25.050413,172.56859,167.0,1522.0,14.34,8.54
